,section,number
0,main,277
11,Véase también,53
19,Historia,43
31,Referencias,32
6,Características,22
74,Biografía,19
22,Muerte,18
99,Descripción,11
34,Vida,9
38,Legado,9
5,Apariencia,9
21,Origen,8
98,En la cultura popular,6
362,Salud,6
69,Notas,6
228,Filmografía,5
269,Temperamento,5
44,Televisión,5
79,Carrera,5
60,Morfología,5
