,data,value
0,avg_secton_num,4
1,avg_reference_num,6
2,avg_reference_5prop_num,0.36173458153751115
4,mid_secton_num,5
5,mid_reference_num,4
6,mid_reference_5prop_num,0.45454545454545453
3,scraping_time,26.073193270117375
